,,,Date,Open,High,Low,Close
,,,2023-01-01,101.4,102.62,101.53,101.69
,,,2023-01-02,101.13,101.69,100.75,101.22
,,,2023-01-03,101.63,101.84,100.86,101.26
,,,2023-01-04,101.17,101.89,101.23,101.66
,,,2023-01-05,100.93,101.12,100.64,100.88
,,,2023-01-06,100.41,101.4,100.11,100.88
,,,2023-01-07,100.76,101.11,100.67,100.88
,,,2023-01-08,98.92,99.15,99.08,99.12
,,,2023-01-09,99.8,100.51,99.44,100.14
,,,2023-01-10,100.72,101.49,100,100.74
,,,2023-01-11,99.96,100.39,99.88,100.12
,,,2023-01-12,99.71,100.81,99.77,99.94
,,,2023-01-13,100.56,101.15,99.87,100.45
,,,2023-01-14,99.93,100.84,99.27,100.19
,,,2023-01-15,100.42,100.84,99.69,99.94
,,,2023-01-16,98.24,98.57,97.95,98.49
,,,2023-01-17,99.53,99.22,98.78,99.05
,,,2023-01-18,98.83,100.08,98.43,99.17
,,,2023-01-19,99.89,100.35,98.98,99.44
,,,2023-01-20,97.48,98,97.54,97.92
,,,2023-01-21,99.08,100.34,98.91,99.57
,,,2023-01-22,99.32,99.74,99.19,99.72
,,,2023-01-23,99.54,99.47,99.13,99.34
,,,2023-01-24,101.1,101.47,100.95,101.36
,,,2023-01-25,101.1,101.61,100.36,101.32
,,,2023-01-26,100.04,100.26,99.07,99.87
,,,2023-01-27,98.99,100.37,98.95,99.46
,,,2023-01-28,97.22,97.61,96.51,97.18
,,,2023-01-29,98.13,98.35,98.08,98.22
,,,2023-01-30,97.47,98.08,97.4,97.81
,,,2023-01-31,97.48,97.07,96.17,97.07
,,,2023-02-01,98,98.17,97.95,98.14
,,,2023-02-02,96.28,96.92,95.51,96.49
,,,2023-02-03,97.22,97.53,96.17,97.02
,,,2023-02-04,95.31,95.21,94.27,94.96
,,,2023-02-05,94.02,94.68,93.92,94.3
,,,2023-02-06,92.72,93.2,93,93.09
,,,2023-02-07,95.01,95.21,94.26,94.55
,,,2023-02-08,96.25,96.71,95.58,96.32
,,,2023-02-09,96.03,96.15,95.57,95.99
,,,2023-02-10,96.79,97.33,96.03,96.83
,,,2023-02-11,96.98,96.86,96.44,96.65
,,,2023-02-12,97.15,97.51,96.4,97.22
,,,2023-02-13,96.72,96.59,95.61,96.47
,,,2023-02-14,94.78,95.54,94.04,94.76
,,,2023-02-15,92.53,93.23,92.75,92.95
,,,2023-02-16,93.35,94.29,93.12,93.34
,,,2023-02-17,95.94,95.99,95.52,95.59
,,,2023-02-18,95.89,96.01,95.8,95.86
,,,2023-02-19,95.22,96.04,94.59,95.33
,,,2023-02-20,96.77,97.98,96.75,97.24
,,,2023-02-21,97.68,98.36,96.72,97.48
,,,2023-02-22,97.47,97.71,97.3,97.58
,,,2023-02-23,97.66,98.62,97.49,97.83
,,,2023-02-24,97.57,98.56,96.81,97.7
,,,2023-02-25,97.31,97.7,96.39,97.39
,,,2023-02-26,95.79,96.41,95.86,95.96
,,,2023-02-27,96.25,97.08,95.68,96.46
,,,2023-02-28,96.32,96.61,95.81,96.36
,,,2023-03-01,97.1,98.43,97.55,97.56
,,,2023-03-02,96.91,97.89,96.57,97.19
,,,2023-03-03,95.22,96.14,95,95.28
,,,2023-03-04,95.57,95.63,94.83,95.18
,,,2023-03-05,96.81,97.4,95.91,96.88
,,,2023-03-06,96.55,96.69,95.76,96.5
,,,2023-03-07,96,95.92,95.55,95.61
,,,2023-03-08,94.72,95.14,93.73,94.41
,,,2023-03-09,93.58,94.32,93.35,93.36
,,,2023-03-10,93.18,93.22,92.18,93.06
,,,2023-03-11,91.98,91.94,91.29,91.88
,,,2023-03-12,93.07,93.45,92.75,93.38
,,,2023-03-13,92.73,93.54,93.08,93.1
,,,2023-03-14,92.76,94,93.12,93.21
,,,2023-03-15,94.24,94.87,94.12,94.65
,,,2023-03-16,96.26,96.63,95.77,96.15
,,,2023-03-17,96.05,96.45,95.12,95.94
,,,2023-03-18,95.81,97.11,95.99,96.27
,,,2023-03-19,97.34,97.17,96.6,97
,,,2023-03-20,96.75,96.83,96.69,96.81
,,,2023-03-21,95.07,95.54,94.53,95.03
,,,2023-03-22,95.26,96.04,94.73,95.69
,,,2023-03-23,96.94,96.87,96.32,96.58
,,,2023-03-24,96.58,97.77,96.21,97
,,,2023-03-25,95.79,96.76,95.91,96.07
,,,2023-03-26,95.84,95.96,94.99,95.88
,,,2023-03-27,95.29,95.84,94.77,95.29
,,,2023-03-28,95.02,95.79,94.86,94.99
,,,2023-03-29,96.72,97.19,95.5,96.28
,,,2023-03-30,97.35,97.81,96.93,97.81
,,,2023-03-31,98.66,99.29,98.34,98.48
,,,2023-04-01,98.96,99.08,98.91,99.03
,,,2023-04-02,100.02,100.39,99.46,99.71
,,,2023-04-03,99.86,100.29,99.18,99.7
,,,2023-04-04,99.93,100.57,98.67,99.62
,,,2023-04-05,99.31,99.58,98.09,98.95
,,,2023-04-06,99.17,98.96,98.57,98.89
,,,2023-04-07,100.78,101.82,101.11,101.15
,,,2023-04-08,102.06,102.28,101.42,102.02
,,,2023-04-09,101.95,102.51,101.1,101.68
,,,2023-04-10,101.48,101.24,100.97,101.21
,,,2023-04-11,100.77,100.67,99.74,100.34
,,,2023-04-12,100.63,101.39,99.73,100.72
,,,2023-04-13,100.62,101.26,100.96,101.11
,,,2023-04-14,99.89,100.31,99.35,99.66
,,,2023-04-15,99.93,100.85,99.3,100.15
,,,2023-04-16,99.74,100.32,99.42,99.58
,,,2023-04-17,100.56,101.88,100.88,101.01
,,,2023-04-18,101.02,101.58,100.99,101.17
,,,2023-04-19,103.02,103.03,102.11,102.88
,,,2023-04-20,102.05,102.69,102.3,102.42
,,,2023-04-21,101.95,102.53,102.05,102.14
,,,2023-04-22,102.08,102.49,101.81,102.44
,,,2023-04-23,103.88,104.2,102.73,103.49
,,,2023-04-24,104.33,104.12,103.3,104.06
,,,2023-04-25,102.96,102.88,102.39,102.83
,,,2023-04-26,103.03,103.94,102.09,103.01
,,,2023-04-27,103.51,103.84,102.88,103.03
,,,2023-04-28,102.36,102.85,102.16,102.6
,,,2023-04-29,102.16,102.29,101.58,101.95
,,,2023-04-30,103.29,104.53,103.15,103.7
,,,2023-05-01,103.43,103.93,103.12,103.31
,,,2023-05-02,102.16,102.73,102.32,102.46
,,,2023-05-03,102.61,103.55,102.12,103.1
,,,2023-05-04,103.64,104.09,102.93,103.23
,,,2023-05-05,102.94,103.16,102.66,103.16
,,,2023-05-06,104.43,104.93,103.02,103.94
,,,2023-05-07,104.61,104.99,104.12,104.43
,,,2023-05-08,104.96,104.97,104.42,104.79
,,,2023-05-09,105.93,106.55,105.19,105.75
,,,2023-05-10,106.53,106.11,105.97,106.04
,,,2023-05-11,105.14,105.83,105.4,105.42
,,,2023-05-12,105.54,105.63,104.42,105.06
,,,2023-05-13,104.36,104.78,104.17,104.54
,,,2023-05-14,104.34,105.63,104.67,104.75
,,,2023-05-15,104.09,104.36,103.38,103.67
,,,2023-05-16,101.43,102,101.14,101.84
,,,2023-05-17,101.9,102.08,101.16,101.92
,,,2023-05-18,100.92,100.65,100.08,100.59
,,,2023-05-19,98.41,99.21,98.41,98.63
,,,2023-05-20,99.23,99.2,98.17,99.01
,,,2023-05-21,98.44,98.84,98.09,98.3
,,,2023-05-22,98.98,99.61,98.04,98.79
,,,2023-05-23,97.91,99.14,98.11,98.26
,,,2023-05-24,97.34,97.26,96.21,97.14
,,,2023-05-25,96.24,96.23,95.12,95.9
,,,2023-05-26,95.02,95.8,94.88,95.38
,,,2023-05-27,95.57,95.49,94.67,95.11
,,,2023-05-28,94.74,94.7,93.71,94.29
,,,2023-05-29,93.82,94.46,93.34,94
,,,2023-05-30,92.92,93.22,91.91,92.47
,,,2023-05-31,92.92,92.79,91.79,92.48
,,,2023-06-01,90.31,91.03,90.6,90.69
,,,2023-06-02,90.74,90.89,90.08,90.49
,,,2023-06-03,91.65,91.34,90.44,91.19
,,,2023-06-04,92.61,92.91,91.85,92.28
,,,2023-06-05,93.63,94.4,93.03,94
,,,2023-06-06,92.35,93.36,91.91,92.44
,,,2023-06-07,93.27,94.02,92.89,93.2
,,,2023-06-08,94.28,94.64,93.52,94.41
,,,2023-06-09,95.27,95.63,94.97,95.39
,,,2023-06-10,94.05,95.24,93.91,94.46
,,,2023-06-11,94.38,95.43,94.23,94.87
,,,2023-06-12,96.54,96.74,95.87,96.73
,,,2023-06-13,95.16,95.86,95.02,95.23
,,,2023-06-14,95.79,96.1,94.84,95.71
,,,2023-06-15,97.28,97.61,96.25,96.82
,,,2023-06-16,95.71,96.87,95.76,96.13
,,,2023-06-17,96.56,97.63,96.37,96.71
,,,2023-06-18,96.01,96.34,94.66,95.64
,,,2023-06-19,95.15,95.74,93.88,94.83
,,,2023-06-20,93.62,94.29,93.46,94.01
,,,2023-06-21,94.38,94.54,93.85,94.2
,,,2023-06-22,93.7,94.17,93.14,94.11
,,,2023-06-23,95.51,95.93,95.05,95.06
,,,2023-06-24,93.88,94.28,94.07,94.12
,,,2023-06-25,94.1,94.54,93.51,93.99
,,,2023-06-26,94.92,95.46,94.37,94.95
,,,2023-06-27,95.53,96.33,95.51,95.51
,,,2023-06-28,93.9,94.58,94,94.19
,,,2023-06-29,94.71,95,94.77,94.85
,,,2023-06-30,94.16,94.76,94.13,94.38
,,,2023-07-01,94.88,94.81,94.58,94.76
,,,2023-07-02,94.98,95.36,94.94,95.06
,,,2023-07-03,96.37,96.91,96.15,96.28
,,,2023-07-04,96.43,96.45,96.03,96.4
,,,2023-07-05,94.71,95.53,94.42,94.54
,,,2023-07-06,93.65,93.71,92.4,93.17
,,,2023-07-07,93.94,94.21,93.5,93.91
,,,2023-07-08,93.69,94.48,93.53,93.65
,,,2023-07-09,94.9,94.92,94.13,94.78
,,,2023-07-10,95.11,95.38,94.27,95.06
,,,2023-07-11,94.22,95.25,93.95,94.31
,,,2023-07-12,95.14,95.63,95.39,95.39
,,,2023-07-13,94.62,95.32,93.93,94.58
,,,2023-07-14,92.28,92.61,91.78,92.53
,,,2023-07-15,94.75,95.13,93.71,94.6
,,,2023-07-16,93.07,93.34,91.97,92.68
,,,2023-07-17,93.62,93.53,92.72,93.32
,,,2023-07-18,94.55,94.59,93.92,94.26
,,,2023-07-19,94.12,94.96,94.16,94.41
,,,2023-07-20,92.26,93.31,92.66,92.72
,,,2023-07-21,93.44,93.89,92.92,93.74
,,,2023-07-22,92.37,92.71,91.74,92.3
,,,2023-07-23,90.58,91.95,90.67,90.95
,,,2023-07-24,90.19,90.91,90.47,90.59
,,,2023-07-25,91.88,92.17,91.09,91.38
,,,2023-07-26,91.53,91.88,90.92,91.68
,,,2023-07-27,92.05,92.95,92.28,92.49
,,,2023-07-28,92.06,92.57,92,92.05
,,,2023-07-29,92.07,92.47,91.5,91.88
,,,2023-07-30,90.7,91.46,90.4,90.74
,,,2023-07-31,90.05,91.22,89.72,90.42
,,,2023-08-01,91.03,91.71,90.46,91.01
,,,2023-08-02,90.28,91.52,90.24,90.71
,,,2023-08-03,91.42,92.08,90.21,91.19
,,,2023-08-04,91.06,90.94,89.77,90.62
,,,2023-08-05,89.57,90.85,89.9,90.02
,,,2023-08-06,90.13,90.58,89.82,90.06
,,,2023-08-07,90.2,90.13,89.45,89.87
,,,2023-08-08,90.6,90.63,90.39,90.46
,,,2023-08-09,90.29,91.4,89.88,90.64
,,,2023-08-10,91.95,93.02,91.61,92.38
,,,2023-08-11,92.12,92.23,91.87,92.16
,,,2023-08-12,91.48,92.52,91.03,91.93
,,,2023-08-13,91.23,90.94,90.34,90.89
,,,2023-08-14,90.93,91.31,90.69,90.92
,,,2023-08-15,91.42,92.17,90.98,91.6
,,,2023-08-16,91.13,91.51,90.19,90.86
,,,2023-08-17,90.52,90.97,90.09,90.81
,,,2023-08-18,91.54,91.57,90.56,91.53
,,,2023-08-19,91.41,91.98,90.49,91.4
,,,2023-08-20,90.49,91.7,90.47,90.88
,,,2023-08-21,92.16,92.65,91.42,91.85
,,,2023-08-22,92.15,92.31,91.93,91.95
,,,2023-08-23,92.05,92.92,91.93,92.35
,,,2023-08-24,93.45,94.24,93.34,93.52
,,,2023-08-25,94.47,95.54,94.54,94.66
,,,2023-08-26,94.75,94.81,93.5,94.32
,,,2023-08-27,93.96,94.67,93.77,93.79
,,,2023-08-28,94.52,94.39,93.95,94.08
,,,2023-08-29,94.21,94.16,93.28,93.94
,,,2023-08-30,92.34,92.34,91.48,92.04
,,,2023-08-31,93.13,94.05,92.89,93.32
,,,2023-09-01,93.69,94.22,92.53,93.34
,,,2023-09-02,93.91,94.55,93.84,94.07
,,,2023-09-03,93.23,93.6,92.7,92.9
,,,2023-09-04,94.4,94.33,93.68,94.19
,,,2023-09-05,93.61,94.11,93.49,93.6
,,,2023-09-06,93.16,93.93,92.8,93.49
,,,2023-09-07,92.19,92.52,91.16,92.09
,,,2023-09-08,92.05,92.11,91.11,91.93
,,,2023-09-09,91.88,92.32,90.81,91.7
,,,2023-09-10,91.08,92.18,91.44,91.51
,,,2023-09-11,91.7,92.59,91.52,91.95
,,,2023-09-12,92.07,92.75,91.11,92.01
,,,2023-09-13,93.34,93.44,92.14,92.99
,,,2023-09-14,92.25,93.37,91.92,92.52
,,,2023-09-15,91.92,92.09,90.87,91.52
,,,2023-09-16,91.98,92.38,91.24,91.5
,,,2023-09-17,91.72,92.54,91.86,92.13
,,,2023-09-18,93.6,94.07,93.31,93.37
,,,2023-09-19,94.09,94.39,93.29,94.19
,,,2023-09-20,92.06,92.51,92.13,92.42
